pid,block,cond,keypress,acc,rt
55d51a6b8ce09000127d4821,1,Novel,p,1,0.8841
55d51a6b8ce09000127d4821,1,Novel,p,1,0.9126
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7266
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7857
55d51a6b8ce09000127d4821,1,Famous,q,1,0.8502
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6779
55d51a6b8ce09000127d4821,1,Famous,q,1,0.8989
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5766
55d51a6b8ce09000127d4821,1,Famous,q,1,0.7861
55d51a6b8ce09000127d4821,1,Famous,q,1,0.755
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6517
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7381
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6088
55d51a6b8ce09000127d4821,1,Famous,q,1,0.7278
55d51a6b8ce09000127d4821,1,Famous,q,1,0.7629
55d51a6b8ce09000127d4821,1,Novel,p,1,0.655
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6768
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6032
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5442
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5922
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6281
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6047
55d51a6b8ce09000127d4821,1,Novel,p,1,0.9002
55d51a6b8ce09000127d4821,1,Famous,NA,0,NA
55d51a6b8ce09000127d4821,1,Famous,q,1,0.699
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7393
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6265
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7245
55d51a6b8ce09000127d4821,1,Novel,p,1,0.5818
55d51a6b8ce09000127d4821,1,Famous,q,1,0.497
55d51a6b8ce09000127d4821,1,Famous,q,1,0.7105
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5709
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6077
55d51a6b8ce09000127d4821,1,Famous,p,0,0.7605
55d51a6b8ce09000127d4821,1,Famous,q,1,0.7652
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5525
55d51a6b8ce09000127d4821,1,Famous,p,0,0.6704
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6831
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5842
55d51a6b8ce09000127d4821,1,Novel,p,1,0.591
55d51a6b8ce09000127d4821,1,Novel,p,1,0.5969
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5598
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6208
55d51a6b8ce09000127d4821,1,Novel,p,1,0.8078
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7058
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6309
55d51a6b8ce09000127d4821,1,Famous,q,1,0.5857
55d51a6b8ce09000127d4821,1,Novel,p,1,0.5961
55d51a6b8ce09000127d4821,1,Novel,p,1,0.7804
55d51a6b8ce09000127d4821,1,Novel,p,1,0.8993
55d51a6b8ce09000127d4821,1,Famous,q,1,0.6476
55d51a6b8ce09000127d4821,1,Novel,p,1,0.5925
55d51a6b8ce09000127d4821,1,Novel,p,1,0.5537
55d51a6b8ce09000127d4821,1,Novel,q,0,0.6314
55d51a6b8ce09000127d4821,1,Novel,p,1,0.8433
55d51a6b8ce09000127d4821,1,Novel,p,1,0.893
55d51a6b8ce09000127d4821,1,Novel,p,1,0.6069
55d51a6b8ce09000127d4821,1,Famous,p,0,0.9155
55d51a6b8ce09000127d4821,1,Novel,p,1,0.5713
55d51a6b8ce09000127d4821,1,Famous,q,1,0.8356
55d51a6b8ce09000127d4821,2,Famous,q,1,0.6685
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6052
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5534
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7826
55d51a6b8ce09000127d4821,2,Novel,p,1,0.782
55d51a6b8ce09000127d4821,2,Famous,q,1,0.4773
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5789
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5113
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5368
55d51a6b8ce09000127d4821,2,Famous,p,0,0.617
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5542
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6475
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5712
55d51a6b8ce09000127d4821,2,Famous,NA,0,NA
55d51a6b8ce09000127d4821,2,Famous,q,1,0.7129
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5482
55d51a6b8ce09000127d4821,2,Famous,q,1,0.6302
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7644
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5195
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5168
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5248
55d51a6b8ce09000127d4821,2,Famous,p,0,0.686
55d51a6b8ce09000127d4821,2,Novel,p,1,0.9784
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5031
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5295
55d51a6b8ce09000127d4821,2,Novel,p,1,0.713
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6243
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6525
55d51a6b8ce09000127d4821,2,Famous,q,1,0.678
55d51a6b8ce09000127d4821,2,Famous,q,1,0.4959
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5045
55d51a6b8ce09000127d4821,2,Famous,q,1,0.4924
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5447
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5231
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5052
55d51a6b8ce09000127d4821,2,Novel,q,0,0.797
55d51a6b8ce09000127d4821,2,Famous,q,1,0.6533
55d51a6b8ce09000127d4821,2,Famous,q,1,0.787
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7941
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6491
55d51a6b8ce09000127d4821,2,Famous,q,1,0.581
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5645
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7089
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6607
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6245
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5203
55d51a6b8ce09000127d4821,2,Novel,p,1,0.6298
55d51a6b8ce09000127d4821,2,Famous,q,1,0.976
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7271
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7875
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5549
55d51a6b8ce09000127d4821,2,Famous,p,0,0.6174
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5269
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5786
55d51a6b8ce09000127d4821,2,Novel,p,1,0.7613
55d51a6b8ce09000127d4821,2,Novel,p,1,0.606
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5134
55d51a6b8ce09000127d4821,2,Novel,p,1,0.5402
55d51a6b8ce09000127d4821,2,Famous,q,1,0.5537
55d51a6b8ce09000127d4821,2,Novel,p,1,0.4883
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5353
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5024
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5205
55d51a6b8ce09000127d4821,3,Famous,q,1,0.4858
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5656
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5494
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5929
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5199
55d51a6b8ce09000127d4821,3,Famous,q,1,0.6751
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6335
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5684
55d51a6b8ce09000127d4821,3,Novel,p,1,0.7137
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5331
55d51a6b8ce09000127d4821,3,Famous,q,1,0.509
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5139
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5331
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5185
55d51a6b8ce09000127d4821,3,Famous,q,1,0.668
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5318
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6326
55d51a6b8ce09000127d4821,3,Novel,p,1,0.4695
55d51a6b8ce09000127d4821,3,Novel,p,1,0.551
55d51a6b8ce09000127d4821,3,Novel,p,1,0.4643
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5623
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5315
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6373
55d51a6b8ce09000127d4821,3,Famous,q,1,0.6529
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6431
55d51a6b8ce09000127d4821,3,Novel,p,1,0.9018
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5331
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5287
55d51a6b8ce09000127d4821,3,Famous,q,1,0.6363
55d51a6b8ce09000127d4821,3,Novel,p,1,0.457
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5885
55d51a6b8ce09000127d4821,3,Novel,p,1,0.4603
55d51a6b8ce09000127d4821,3,Novel,p,1,0.4603
55d51a6b8ce09000127d4821,3,Famous,q,1,0.544
55d51a6b8ce09000127d4821,3,Famous,q,1,0.6887
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5448
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6637
55d51a6b8ce09000127d4821,3,Famous,p,0,0.4855
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5741
55d51a6b8ce09000127d4821,3,Famous,q,1,0.7438
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5492
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5872
55d51a6b8ce09000127d4821,3,Famous,q,1,0.528
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5777
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6375
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6005
55d51a6b8ce09000127d4821,3,Famous,q,1,0.6513
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5194
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5225
55d51a6b8ce09000127d4821,3,Famous,q,1,0.5488
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6665
55d51a6b8ce09000127d4821,3,Novel,p,1,0.7431
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5522
55d51a6b8ce09000127d4821,3,Novel,p,1,0.5484
55d51a6b8ce09000127d4821,3,Novel,p,1,0.4426
55d51a6b8ce09000127d4821,3,Novel,p,1,0.4881
55d51a6b8ce09000127d4821,3,Novel,p,1,0.6865
